2022-03-25 13:09:06.666|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:09:06.666
2022-03-25 13:09:06.666|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：347
2022-03-25 13:09:07.725|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:09:07.724
2022-03-25 13:09:07.725|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:09:07.725|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:09:07.725|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getUser
2022-03-25 13:09:07.725|[http-nio-0.0.0.0-8002-exec-9]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[org.apache.catalina.connector.RequestFacade@3f21305e]
2022-03-25 13:09:07.773|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:09:07.773
2022-03-25 13:09:07.773|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:09:07.773
2022-03-25 13:09:07.774|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:09:07.774|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:09:07.774|[http-nio-0.0.0.0-8002-exec-3]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:09:07.774|[http-nio-0.0.0.0-8002-exec-10]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
